id,country,state,neighbourhood_cleansed,property_type,square_meters,price,room_type,bathrooms,bedrooms,beds
33726758,Australia,NSW,BYRON SHIRE COUNCIL,Camper/RV,29.82,$736.00 ,Entire home/apt,1,0,2
2883029,Australia,NSW,BYRON SHIRE COUNCIL,House,28.37,$785.00 ,Entire home/apt,2,3,3
11534614,Australia,New South Wales,BYRON SHIRE COUNCIL,House,29.22,"$1,106.00 ",Entire home/apt,2.5,2,2
6605840,Australia,NSW,BYRON SHIRE COUNCIL,House,30.14,"$1,190.00 ",Entire home/apt,1.5,2,1
28566789,Australia,NSW,BYRON SHIRE COUNCIL,House,28.66,$900.00 ,Entire home/apt,2,4,5
34125852,Australia,NSW,BYRON SHIRE COUNCIL,House,28.07,$900.00 ,Entire home/apt,3.5,4,4
839246,Australia,NSW,BYRON SHIRE COUNCIL,Apartment,31.10,"$1,386.00 ",Entire home/apt,1.5,2,2
15401817,Australia,NSW,BYRON SHIRE COUNCIL,Guesthouse,29.28,$696.00 ,Entire home/apt,1,1,1
32771923,Australia,NSW,BYRON SHIRE COUNCIL,House,32.33,"$1,199.00 ",Entire home/apt,2,3,3
121842,Australia,NSW,BYRON SHIRE COUNCIL,Apartment,29.86,"$1,199.00 ",Entire home/apt,1,1,1
15244154,Australia,NSW,BYRON SHIRE COUNCIL,House,28.97,$970.00 ,Entire home/apt,2,2,2
33618724,Australia,NSW,BYRON SHIRE COUNCIL,Apartment,32.39,"$1,394.00 ",Entire home/apt,1.5,3,4
7469823,Australia,NSW,BYRON SHIRE COUNCIL,House,29.30,$700.00 ,Entire home/apt,1,3,6
723936,Australia,NSW,BYRON SHIRE COUNCIL,House,28.42,$795.00 ,Entire home/apt,2,3,3
16325045,Australia,NSW,BYRON SHIRE COUNCIL,House,31.71,"$1,119.00 ",Entire home/apt,2.5,4,4
32747550,Australia,NSW,BYRON SHIRE COUNCIL,Apartment,30.76,$850.00 ,Entire home/apt,2,3,4
24698864,Australia,NSW,BYRON SHIRE COUNCIL,House,31.10,"$1,120.00 ",Entire home/apt,2,3,5
30295275,Australia,NSW,BYRON SHIRE COUNCIL,House,30.18,$798.00 ,Entire home/apt,2,3,3
6661445,Australia,NSW,BYRON SHIRE COUNCIL,Apartment,29.90,$799.00 ,Entire home/apt,1,2,3
21864729,Australia,NSW,BYRON SHIRE COUNCIL,House,30.82,"$1,209.00 ",Entire home/apt,2.5,3,7
15688767,Australia,NSW,BYRON SHIRE COUNCIL,Apartment,28.75,$750.00 ,Entire home/apt,1,1,1
29743096,Australia,NSW,BYRON SHIRE COUNCIL,House,27.31,$750.00 ,Entire home/apt,2,3,5
21903493,Australia,NSW,BYRON SHIRE COUNCIL,House,28.16,$800.00 ,Entire home/apt,2,3,4
9802598,Australia,NSW,BYRON SHIRE COUNCIL,House,31.48,"$1,405.00 ",Entire home/apt,2.5,3,3
14990472,Australia,NSW,BYRON SHIRE COUNCIL,Guest suite,29.90,"$1,210.00 ",Entire home/apt,1,0,5
25548619,Australia,,BYRON SHIRE COUNCIL,House,29.91,$752.00 ,Entire home/apt,3,5,7
24783530,Australia,NSW,BYRON SHIRE COUNCIL,Apartment,31.79,"$1,309.00 ",Entire home/apt,2,2,2
6428305,Australia,NSW,BYRON SHIRE COUNCIL,House,28.46,$921.00 ,Entire home/apt,1,3,3
23901842,Australia,NSW,BYRON SHIRE COUNCIL,Apartment,27.62,$807.00 ,Entire home/apt,2,3,6
22731620,Australia,NSW,BYRON SHIRE COUNCIL,House,30.57,"$1,225.00 ",Private room,1,1,1
28813817,Australia,NSW,BYRON SHIRE COUNCIL,House,28.76,$990.00 ,Entire home/apt,4,4,4
23754494,Australia,NSW,BYRON SHIRE COUNCIL,House,31.14,$925.00 ,Entire home/apt,2,5,9
24137369,Australia,NSW,BYRON SHIRE COUNCIL,House,32.16,"$1,324.00 ",Entire home/apt,2,3,5
9409843,Australia,NSW,BYRON SHIRE COUNCIL,House,28.49,$929.00 ,Entire home/apt,2,2,3
9909473,Australia,NSW,BYRON SHIRE COUNCIL,Apartment,28.80,$931.00 ,Entire home/apt,1,3,3
6696025,Australia,NSW,BYRON SHIRE COUNCIL,Guest suite,32.80,"$1,330.00 ",Entire home/apt,1,0,1
9032777,Australia,New South Wales,BYRON SHIRE COUNCIL,House,27.99,$718.00 ,Entire home/apt,1,2,2
30352402,Australia,NSW,BYRON SHIRE COUNCIL,Guesthouse,31.22,"$1,150.00 ",Entire home/apt,1,1,1
33049892,Australia,,BYRON SHIRE COUNCIL,House,30.90,$999.00 ,Entire home/apt,2,3,4
30774666,Australia,NSW,BYRON SHIRE COUNCIL,Apartment,28.80,$999.00 ,Entire home/apt,2,3,5
30405240,Australia,NSW,BYRON SHIRE COUNCIL,Apartment,31.20,$999.00 ,Entire home/apt,2,3,5
399928,Australia,NSW,BYRON SHIRE COUNCIL,House,31.50,"$1,000.00 ",Entire home/apt,1,3,3
3231237,Australia,NSW,BYRON SHIRE COUNCIL,Apartment,27.72,$720.00 ,Entire home/apt,1,1,1
32753904,Australia,NSW,BYRON SHIRE COUNCIL,House,28.57,$720.00 ,Entire home/apt,2,3,4
19789181,Australia,NSW,BYRON SHIRE COUNCIL,House,30.94,"$1,241.00 ",Entire home/apt,2,3,5
30778930,Australia,NSW,BYRON SHIRE COUNCIL,Apartment,30.02,$821.00 ,Entire home/apt,1,1,1
18797217,Australia,NSW,BYRON SHIRE COUNCIL,House,29.15,$770.00 ,Entire home/apt,2,4,5
11304398,Australia,NSW,BYRON SHIRE COUNCIL,House,32.88,"$1,450.00 ",Entire home/apt,2,3,5
28466655,Australia,NSW,BYRON SHIRE COUNCIL,House,31.61,"$1,450.00 ",Entire home/apt,4,4,5
24023411,Australia,NSW,BYRON SHIRE COUNCIL,House,30.03,$725.00 ,Entire home/apt,2,3,3
4431180,Australia,NSW,BYRON SHIRE COUNCIL,House,27.71,$825.00 ,Entire home/apt,1,1,1
15057422,Australia,NSW,BYRON SHIRE COUNCIL,House,29.42,"$1,250.00 ",Entire home/apt,2,3,3
9532065,Australia,NSW,BYRON SHIRE COUNCIL,House,27.45,$775.00 ,Entire home/apt,2,5,6
3752620,Australia,NSW,BYRON SHIRE COUNCIL,Apartment,30.37,"$1,015.00 ",Entire home/apt,1,2,3
23342421,Australia,NSW,BYRON SHIRE COUNCIL,House,28.58,$949.00 ,Entire home/apt,1,4,4
4379478,Australia,New South Wales,BYRON SHIRE COUNCIL,House,30.07,"$1,090.00 ",Entire home/apt,2,4,5
936374,Australia,NSW,BYRON SHIRE COUNCIL,House,29.18,$950.00 ,Entire home/apt,2,3,2
26573109,Australia,NSW,BYRON SHIRE COUNCIL,House,30.08,"$1,359.00 ",Entire home/apt,1,2,4
21881689,Australia,NSW,BYRON SHIRE COUNCIL,House,31.66,"$1,270.00 ",Entire home/apt,2.5,3,4
2083377,Australia,NSW,BYRON SHIRE COUNCIL,Guesthouse,33.29,"$1,480.00 ",Entire home/apt,3,4,15
2333137,Australia,NSW,BYRON SHIRE COUNCIL,Apartment,27.52,$788.00 ,Entire home/apt,2,3,3
907348,Australia,NSW,BYRON SHIRE COUNCIL,House,30.43,"$1,030.00 ",Entire home/apt,1.5,3,4
3732235,Australia,NSW,BYRON SHIRE COUNCIL,Apartment,31.04,"$1,031.00 ",Entire home/apt,2,3,4
18044480,Australia,NSW,BYRON SHIRE COUNCIL,House,28.36,$900.00 ,Entire home/apt,1.5,4,5
2478585,Australia,NSW,BYRON SHIRE COUNCIL,Guest suite,28.42,$795.00 ,Entire home/apt,1,1,1
22085887,Australia,NSW,BYRON SHIRE COUNCIL,Apartment,32.40,"$1,500.00 ",Entire home/apt,1.5,3,5
2310749,Australia,NSW,BYRON SHIRE COUNCIL,House,30.49,"$1,390.00 ",Entire home/apt,2.5,3,5
32747888,Australia,NSW,BYRON SHIRE COUNCIL,Apartment,27.83,$850.00 ,Entire home/apt,2,3,4
29742391,Australia,NSW,BYRON SHIRE COUNCIL,House,29.59,$850.00 ,Entire home/apt,2,3,4
9260739,Australia,NSW,BYRON SHIRE COUNCIL,House,31.76,"$1,501.00 ",Entire home/apt,3,4,8
6215872,Australia,New South Wales,BYRON SHIRE COUNCIL,Apartment,28.44,$799.00 ,Entire home/apt,1,2,3
21715437,Australia,NSW,BYRON SHIRE COUNCIL,House,28.46,$750.00 ,Entire home/apt,2,3,3
23902388,Australia,NSW,BYRON SHIRE COUNCIL,House,29.03,$800.00 ,Entire home/apt,3,4,4
18976856,Australia,NSW,BYRON SHIRE COUNCIL,House,30.52,"$1,400.00 ",Entire home/apt,1,3,4
9121938,Australia,NSW,BYRON SHIRE COUNCIL,Apartment,30.83,"$1,400.00 ",Entire home/apt,2,3,3
21115502,Australia,NSW,BYRON SHIRE COUNCIL,House,31.78,"$1,400.00 ",Entire home/apt,2.5,3,4
17670363,Australia,NSW,BYRON SHIRE COUNCIL,House,29.00,"$1,049.00 ",Entire home/apt,2.5,3,5
15915922,Australia,NSW,BYRON SHIRE COUNCIL,House,29.91,$980.00 ,Entire home/apt,2,2,2
30827563,Australia,NSW,BYRON SHIRE COUNCIL,Apartment,31.12,"$1,051.00 ",Entire home/apt,1.5,2,4
15890105,Australia,NSW,BYRON SHIRE COUNCIL,Apartment,29.07,$755.00 ,Entire home/apt,1,2,2
15553530,Australia,NSW,BYRON SHIRE COUNCIL,House,28.19,$805.00 ,Entire home/apt,1.5,2,2
10839331,Australia,NSW,BYRON SHIRE COUNCIL,House,28.74,$919.00 ,Entire home/apt,2.5,3,3
13927508,Australia,NSW,BYRON SHIRE COUNCIL,House,29.04,$985.00 ,Entire home/apt,2,3,3
13961951,Australia,NSW,BYRON SHIRE COUNCIL,House,31.21,"$1,420.00 ",Entire home/apt,2,3,4
27031194,Australia,NSW,BYRON SHIRE COUNCIL,Apartment,30.87,"$1,140.00 ",Entire home/apt,1,2,4
16470922,Australia,NSW,BYRON SHIRE COUNCIL,House,31.88,"$1,540.00 ",Entire home/apt,2,4,4
32844380,Australia,NSW,BYRON SHIRE COUNCIL,House,31.50,$999.00 ,Entire home/apt,1.5,3,7
32530805,Australia,NSW,BYRON SHIRE COUNCIL,House,32.14,"$1,150.00 ",Entire home/apt,2,4,8
30998222,Australia,NSW,BYRON SHIRE COUNCIL,Apartment,30.61,"$1,150.00 ",Entire home/apt,1.5,2,3
7975416,Australia,New South Wales,BYRON SHIRE COUNCIL,House,32.86,"$1,550.00 ",Entire home/apt,2,3,4
20970939,Australia,NSW,BYRON SHIRE COUNCIL,House,31.55,"$1,239.00 ",Entire home/apt,1,2,4
26471225,Australia,NSW,BYRON SHIRE COUNCIL,House,28.24,$939.00 ,Entire home/apt,2,3,4
20624016,Australia,NSW,BYRON SHIRE COUNCIL,House,30.32,"$1,005.00 ",Entire home/apt,2,4,5
30531078,Australia,NSW,BYRON SHIRE COUNCIL,House,29.73,$940.00 ,Entire home/apt,1,3,3
19416289,Australia,NSW,BYRON SHIRE COUNCIL,House,31.27,"$1,339.00 ",Entire home/apt,2,3,4
31931656,Australia,NSW,BYRON SHIRE COUNCIL,House,30.34,$826.00 ,Entire home/apt,2,3,4
11927048,Australia,NSW,BYRON SHIRE COUNCIL,House,28.89,$775.00 ,Entire home/apt,2,3,5
17643401,Australia,NSW,BYRON SHIRE COUNCIL,House,30.04,"$1,009.00 ",Entire home/apt,2,3,4
13284701,Australia,NSW,BYRON SHIRE COUNCIL,House,30.66,"$1,250.00 ",Entire home/apt,2,3,4
33920472,Australia,NSW,BYRON SHIRE COUNCIL,House,32.52,"$1,250.00 ",Entire home/apt,3,4,4
3760146,Australia,NSW,BYRON SHIRE COUNCIL,Apartment,28.56,"$1,015.00 ",Entire home/apt,1,2,4
14888602,Australia,NSW,BYRON SHIRE COUNCIL,House,30.37,$949.00 ,Entire home/apt,1,3,3
32225767,Australia,NSW,BYRON SHIRE COUNCIL,House,30.99,"$1,170.00 ",Entire home/apt,3,4,5
11285148,Australia,NSW,BYRON SHIRE COUNCIL,House,31.02,"$1,100.00 ",Entire home/apt,2.5,3,4
21562455,Australia,NSW,BYRON SHIRE COUNCIL,House,31.04,"$1,270.00 ",Entire home/apt,2,4,4
20236879,Australia,NSW,BYRON SHIRE COUNCIL,House,29.54,$841.00 ,Entire home/apt,3,3,5
20962803,Australia,NSW,BYRON SHIRE COUNCIL,House,30.42,"$1,594.00 ",Entire home/apt,3,5,8
14967401,Australia,NSW,BYRON SHIRE COUNCIL,Apartment,29.24,$899.00 ,Entire home/apt,1,2,3
30825832,Australia,NSW,BYRON SHIRE COUNCIL,Apartment,30.43,"$1,185.00 ",Entire home/apt,1.5,2,3
22052642,Australia,NSW,BYRON SHIRE COUNCIL,House,31.08,"$1,599.00 ",Entire home/apt,1,3,3
21647847,Australia,NSW,BYRON SHIRE COUNCIL,House,33.00,"$1,600.00 ",Entire home/apt,2,3,4
9718582,Australia,NSW,BYRON SHIRE COUNCIL,House,32.04,"$1,600.00 ",Entire home/apt,4,4,5
21438241,Australia,NSW,BYRON SHIRE COUNCIL,House,31.65,"$1,034.00 ",Entire home/apt,1,2,3
9616295,Australia,NSW,BYRON SHIRE COUNCIL,House,32.04,"$1,486.00 ",Entire home/apt,1,3,5
27065168,Australia,NSW,BYRON SHIRE COUNCIL,House,31.42,"$1,606.00 ",Entire home/apt,2.5,4,0
18934607,Australia,NSW,BYRON SHIRE COUNCIL,Guesthouse,30.76,$850.00 ,Entire home/apt,1,1,1
6824347,Australia,NSW,BYRON SHIRE COUNCIL,House,31.70,"$1,196.00 ",Entire home/apt,1,2,2
9615993,Australia,NSW,BYRON SHIRE COUNCIL,House,31.42,"$1,493.00 ",Entire home/apt,2,4,6
563650,Australia,NSW,BYRON SHIRE COUNCIL,House,30.80,"$1,617.00 ",Entire home/apt,2,3,4
21414345,Australia,NSW,BYRON SHIRE COUNCIL,Apartment,32.71,"$1,499.00 ",Entire home/apt,2,2,4
8412677,Australia,New South Wales,BYRON SHIRE COUNCIL,House,31.38,$975.00 ,Entire home/apt,2,3,3
25238488,Australia,NSW,BYRON SHIRE COUNCIL,House,32.40,"$1,500.00 ",Entire home/apt,3,6,7
13849335,Australia,NSW,BYRON SHIRE COUNCIL,House,29.04,$858.00 ,Entire home/apt,3,4,6
19333530,Australia,NSW,BYRON SHIRE COUNCIL,House,27.90,$805.00 ,Entire home/apt,2,3,5
31467185,Australia,NSW,BYRON SHIRE COUNCIL,Apartment,30.51,"$1,299.00 ",Entire home/apt,2.5,3,3
12594268,Australia,NSW,BYRON SHIRE COUNCIL,Apartment,29.89,"$1,299.00 ",Entire home/apt,2,3,4
21438381,Australia,NSW,BYRON SHIRE COUNCIL,House,29.00,"$1,050.00 ",Entire home/apt,2,3,3
7248054,Australia,NSW,BYRON SHIRE COUNCIL,House,33.03,"$1,400.00 ",Entire home/apt,2.5,3,5
17369657,Australia,NSW,BYRON SHIRE COUNCIL,House,30.53,$808.00 ,Entire home/apt,1,1,1
2151277,Australia,NSW,BYRON SHIRE COUNCIL,House,31.50,"$1,520.00 ",Entire home/apt,3,5,8
16134372,Australia,NSW,BYRON SHIRE COUNCIL,House,29.93,"$1,310.00 ",Private room,1,1,3
2310948,Australia,NSW,BYRON SHIRE COUNCIL,House,29.63,"$1,315.00 ",Entire home/apt,2,3,6
281786,Australia,NSW,BYRON SHIRE COUNCIL,House,28.51,$870.00 ,Entire home/apt,2,2,2
11643484,Australia,NSW,BYRON SHIRE COUNCIL,House,29.66,"$1,141.00 ",Private room,1,1,1
30751651,Australia,NSW,BYRON SHIRE COUNCIL,House,31.53,"$1,421.00 ",Entire home/apt,1.5,2,3
23344042,Australia,NSW,BYRON SHIRE COUNCIL,House,31.21,"$1,320.00 ",Entire home/apt,1.5,3,4
27705309,Australia,NSW,BYRON SHIRE COUNCIL,Apartment,27.94,$873.00 ,Entire home/apt,1,2,3
17138807,Australia,NSW,BYRON SHIRE COUNCIL,House,28.83,$874.00 ,Entire home/apt,1,3,5
